"","V1","V2","V3","V4","total"
"343","2020",3,"30","@Imamofpeace",9181
"344","2020",3,"30","@CorneliaLG",7741
"345","2020",3,"30","@WHO",7699
"346","2020",3,"31","@realDonaldTrump",11388
"347","2020",3,"31","@narendramodi",4432
"348","2020",3,"31","@ANI",3765
"349","2020",3,"31","@charliekirk11",3539
"350","2020",3,"31","@CNN",3380
"351","2020",4,"1","@realDonaldTrump",23635
"352","2020",4,"1","@PanamaRedin215",8985
"353","2020",4,"1","@ConflitsFR",7558
"354","2020",4,"1","@RealJamesWoods",7328
"355","2020",4,"1","@business",7055
"356","2020",4,"2","@realDonaldTrump",28446
"357","2020",4,"2","@ConflitsFR",16948
"358","2020",4,"2","@charliekirk11",12444
"359","2020",4,"2","@nextgaara",11555
"360","2020",4,"2","@CNN",10581
"361","2020",4,"3","@realDonaldTrump",28933
"362","2020",4,"3","@narendramodi",21231
"363","2020",4,"3","@charliekirk11",16850
"364","2020",4,"3","@ConflitsFR",15456
"365","2020",4,"3","@CNN",12274
"366","2020",4,"4","@realDonaldTrump",39690
"367","2020",4,"4","@narendramodi",18278
"368","2020",4,"4","@RealCandaceO",16413
"369","2020",4,"4","@CNN",16047
"370","2020",4,"4","@ConflitsFR",12694
"371","2020",4,"5","@realDonaldTrump",42227
"372","2020",4,"5","@narendramodi",25351
"373","2020",4,"5","@charliekirk11",14722
"374","2020",4,"5","@ConflitsFR",13250
"375","2020",4,"5","@DGHisham",12717
"376","2020",4,"6","@realDonaldTrump",46080
"377","2020",4,"6","@BorisJohnson",13700
"378","2020",4,"6","@narendramodi",13496
"379","2020",4,"6","@ConflitsFR",12869
"380","2020",4,"6","@RepMaxineWaters",12684
"381","2020",4,"7","@realDonaldTrump",44814
"382","2020",4,"7","@charliekirk11",20658
"383","2020",4,"7","@lillihopkins",18463
"384","2020",4,"7","@WHO",15517
"385","2020",4,"7","@ConflitsFR",14000
"386","2020",4,"8","@realDonaldTrump",28123
"387","2020",4,"8","@WHO",10880
"388","2020",4,"8","@narendramodi",10693
"389","2020",4,"8","@CNN",10403
"390","2020",4,"8","@ConflitsFR",9421
"391","2020",4,"9","@realDonaldTrump",27679
"392","2020",4,"9","@narendramodi",12553
"393","2020",4,"9","@WHO",10239
"394","2020",4,"9","@DrTedros",8589
"395","2020",4,"9","@ConflitsFR",7810
"396","2020",4,"10","@realDonaldTrump",37244
"397","2020",4,"10","@narendramodi",16124
"398","2020",4,"10","@RepMattGaetz",13311
"399","2020",4,"10","@WHO",12901
"400","2020",4,"10","@CNN",12232
"401","2020",4,"11","@realDonaldTrump",34157
"402","2020",4,"11","@narendramodi",15205
"403","2020",4,"11","@CNN",12926
"404","2020",4,"11","@charliekirk11",11531
"405","2020",4,"11","@nytimes",10503
"406","2020",4,"12","@realDonaldTrump",57583
