"","Year","Month","Day","Text","Count"
"499",2021,8,11,"coronavirus",5193
"500",2021,8,11,"laclaveesvacunarse",4550
"501",2021,8,12,"covid",43493
"502",2021,8,12,"covid-19",40948
"503",2021,8,12,"covid19",37341
"504",2021,8,12,"delta",4720
"505",2021,8,12,"coronavirus",4294
"506",2021,8,13,"covid19",62136
"507",2021,8,13,"covid",46248
"508",2021,8,13,"covid-19",42947
"509",2021,8,13,"fidelporsiempre ponlecorazón",7492
"510",2021,8,13,"fidelporsiempre",7199
"511",2021,8,14,"covid",43135
"512",2021,8,14,"covid-19",38621
"513",2021,8,14,"covid19",34038
"514",2021,8,14,"delta",5351
"515",2021,8,14,"co",3904
"516",2021,8,16,"covid-19",38815
"517",2021,8,16,"covid",30803
"518",2021,8,16,"covid19",27726
"519",2021,8,16,"coronavirus",4678
"520",2021,8,16,"delta",4148
"521",2021,8,17,"covid-19",41570
"522",2021,8,17,"covid19",32527
"523",2021,8,17,"covid",29612
"524",2021,8,17,"coronavirus",5477
"525",2021,8,17,"covid 19",3319
"526",2021,8,19,"covid-19",41025
"527",2021,8,19,"covid",31694
"528",2021,8,19,"covid19",28719
"529",2021,8,19,"delta",3936
"530",2021,8,19,"coronavirus",3885
"531",2021,8,21,"covid-19",28620
"532",2021,8,21,"covid",24959
"533",2021,8,21,"covid19",24208
"534",2021,8,21,"coronavirus",3055
"535",2021,8,21,"‘5 minuts’",2830
"536",2021,8,22,"covid-19",30709
"537",2021,8,22,"covid",24979
"538",2021,8,22,"covid19",19143
"539",2021,8,22,"co",9696
"540",2021,8,22,"‘5 minuts’",5917
"541",2021,8,23,"covid-19",38242
"542",2021,8,23,"covid",27817
"543",2021,8,23,"covid19",24421
"544",2021,8,23,"covid 19",7222
"545",2021,8,23,"coronavirus",3935
"546",2021,8,25,"covid-19",36059
"547",2021,8,25,"covid",29741
"548",2021,8,25,"covid19",29060
"549",2021,8,25,"coronavirus",4008
"550",2021,8,25,"delta",1928
"551",2021,8,27,"covid-19",31320
"552",2021,8,27,"covid",26250
"553",2021,8,27,"covid19",25779
"554",2021,8,27,"sars-cov-2",3747
"555",2021,8,27,"coronavirus",3456
"556",2021,8,30,"covid-19",35770
"557",2021,8,30,"covid",27228
"558",2021,8,30,"covid19",27164
"559",2021,8,30,"coronavirus",7000
"560",2021,8,30,"delta",4934
"561",2021,9,2,"covid",40655
"562",2021,9,2,"covid-19",37431
"563",2021,9,2,"covid19",25393
"564",2021,9,2,"coronavirus",3833
"565",2021,9,2,"breakthrough infections",1993
"566",2021,9,4,"covid-19",32256
"567",2021,9,4,"covid",26140
"568",2021,9,4,"covid19",23259
"569",2021,9,4,"coronavirus",3014
"570",2021,9,4,"mcshine",2614
"571",2021,9,5,"covid-19",29924
"572",2021,9,5,"covid",25152
"573",2021,9,5,"covid19",20365
"574",2021,9,5,"coronavirus",6018
"575",2021,9,5,"const",1656
"576",2021,9,6,"covid-19",31654
"577",2021,9,6,"covid19",27696
"578",2021,9,6,"covid",27249
"579",2021,9,6,"coronavirus",4707
