"","Year","Month","Day","hour","Sentiment","Count","Percentage"
"352","2020",2,2,22,"negative",8656,0.836490143022806
"353","2020",2,2,22,"neutral",1057,0.102145342095091
"354","2020",2,2,22,"positive",635,0.0613645148821028
"355","2020",2,2,23,"negative",7774,0.819523508328062
"356","2020",2,2,23,"neutral",1058,0.111532785157074
"357","2020",2,2,23,"positive",654,0.068943706514864
"358","2020",2,3,0,"negative",6910,0.82418893129771
"359","2020",2,3,0,"neutral",867,0.103411259541985
"360","2020",2,3,0,"positive",607,0.0723998091603053
"361","2020",2,3,1,"negative",6986,0.827725118483412
"362","2020",2,3,1,"neutral",831,0.0984597156398104
"363","2020",2,3,1,"positive",623,0.0738151658767773
"364","2020",2,3,2,"negative",6556,0.846919002712828
"365","2020",2,3,2,"neutral",716,0.0924945097532619
"366","2020",2,3,2,"positive",469,0.0605864875339103
"367","2020",2,3,3,"negative",5181,0.840253000324359
"368","2020",2,3,3,"neutral",593,0.0961725591955887
"369","2020",2,3,3,"positive",392,0.0635744404800519
"370","2020",2,3,4,"negative",4478,0.835291923148666
"371","2020",2,3,4,"neutral",530,0.0988621525834732
"372","2020",2,3,4,"positive",353,0.0658459242678605
"373","2020",2,3,5,"negative",5640,0.851449275362319
"374","2020",2,3,5,"neutral",662,0.09993961352657
"375","2020",2,3,5,"positive",322,0.0486111111111111
"376","2020",2,3,6,"negative",4041,0.844337651483493
"377","2020",2,3,6,"neutral",426,0.0890096113664856
"378","2020",2,3,6,"positive",319,0.0666527371500209
"379","2020",2,3,7,"negative",2267,0.83560633984519
"380","2020",2,3,7,"neutral",272,0.1002580169554
"381","2020",2,3,7,"positive",174,0.0641356431994102
"382","2020",2,3,8,"negative",2446,0.791842020071221
"383","2020",2,3,8,"neutral",336,0.108773065717061
"384","2020",2,3,8,"positive",307,0.099384914211719
"385","2020",2,3,9,"negative",2765,0.788198403648803
"386","2020",2,3,9,"neutral",403,0.114880273660205
"387","2020",2,3,9,"positive",340,0.096921322690992
"388","2020",2,3,10,"negative",3608,0.803742481621742
"389","2020",2,3,10,"neutral",441,0.0982401425707285
"390","2020",2,3,10,"positive",440,0.0980173758075295
"391","2020",2,3,11,"negative",4859,0.818013468013468
"392","2020",2,3,11,"neutral",560,0.0942760942760943
"393","2020",2,3,11,"positive",521,0.0877104377104377
"394","2020",2,3,12,"negative",6463,0.82636491497251
"395","2020",2,3,12,"neutral",763,0.0975578570515279
"396","2020",2,3,12,"positive",595,0.0760772279759622
"397","2020",2,3,13,"negative",6493,0.839974126778784
"398","2020",2,3,13,"neutral",729,0.0943078913324709
"399","2020",2,3,13,"positive",508,0.0657179818887452
"400","2020",2,3,14,"negative",5264,0.839687350454618
"401","2020",2,3,14,"neutral",637,0.101611102249163
"402","2020",2,3,14,"positive",368,0.0587015472962195
"403","2020",2,3,15,"negative",6848,0.853439680957129
"404","2020",2,3,15,"neutral",656,0.0817547357926221
"405","2020",2,3,15,"positive",520,0.0648055832502493
"406","2020",2,3,16,"negative",5906,0.848441315902888
"407","2020",2,3,16,"neutral",618,0.0887803476511995
"408","2020",2,3,16,"positive",437,0.0627783364459129
"409","2020",2,3,17,"negative",7916,0.840250504192761
"410","2020",2,3,17,"neutral",944,0.100201677104341
"411","2020",2,3,17,"positive",561,0.0595478187028978
"412","2020",2,3,18,"negative",7055,0.843193498267001
"413","2020",2,3,18,"neutral",826,0.0987211664873909
"414","2020",2,3,18,"positive",486,0.0580853352456077
"415","2020",2,3,19,"negative",6503,0.829147010072676
"416","2020",2,3,19,"neutral",853,0.108759403289558
"417","2020",2,3,19,"positive",487,0.0620935866377662
"418","2020",2,3,20,"negative",6993,0.847328244274809
"419","2020",2,3,20,"neutral",790,0.0957227674784927
"420","2020",2,3,20,"positive",470,0.0569489882466982
"421","2020",2,3,21,"negative",12027,0.816774193548387
"422","2020",2,3,21,"neutral",1686,0.114499151103565
"423","2020",2,3,21,"positive",1012,0.0687266553480475
"424","2020",2,3,22,"negative",6241,0.835028097404335
"425","2020",2,3,22,"neutral",818,0.109446079743109
"426","2020",2,3,22,"positive",415,0.0555258228525555
"427","2020",2,3,23,"negative",5969,0.836228635472121
"428","2020",2,3,23,"neutral",747,0.104651162790698
"429","2020",2,3,23,"positive",422,0.0591202017371813
"430","2020",2,4,0,"negative",8536,0.820138355111453
"431","2020",2,4,0,"neutral",1258,0.12086856264412
"432","2020",2,4,0,"positive",614,0.0589930822444274
"433","2020",2,4,1,"negative",7223,0.814134355275023
"434","2020",2,4,1,"neutral",1075,0.121167718665464
"435","2020",2,4,1,"positive",574,0.0646979260595131
"436","2020",2,4,2,"negative",4280,0.823393612928049
"437","2020",2,4,2,"neutral",560,0.107733743747595
"438","2020",2,4,2,"positive",358,0.0688726433243555
"439","2020",2,4,3,"negative",4638,0.814112690889942
"440","2020",2,4,3,"neutral",651,0.114270668773038
"441","2020",2,4,3,"positive",408,0.0716166403370195
"442","2020",2,4,4,"negative",7298,0.822680644797655
"443","2020",2,4,4,"neutral",1006,0.113403223988276
"444","2020",2,4,4,"positive",567,0.0639161312140683
"445","2020",2,4,5,"negative",2018,0.802066772655008
"446","2020",2,4,5,"neutral",284,0.112877583465819
"447","2020",2,4,5,"positive",214,0.0850556438791733
"448","2020",2,4,6,"negative",4295,0.814372392870686
"449","2020",2,4,6,"neutral",656,0.124383769434964
"450","2020",2,4,6,"positive",323,0.0612438376943496
"451","2020",2,4,7,"negative",1419,0.83128295254833
"452","2020",2,4,7,"neutral",182,0.106619800820152
"453","2020",2,4,7,"positive",106,0.0620972466315173
"454","2020",2,4,8,"negative",3950,0.814097279472383
"455","2020",2,4,8,"neutral",562,0.115828524319868
"456","2020",2,4,8,"positive",340,0.0700741962077494
"457","2020",2,4,9,"negative",995,0.799196787148594
"458","2020",2,4,9,"neutral",147,0.118072289156627
"459","2020",2,4,9,"positive",103,0.0827309236947791
"460","2020",2,4,10,"negative",4079,0.800274671375319
"461","2020",2,4,10,"neutral",636,0.124779281930547
"462","2020",2,4,10,"positive",382,0.0749460466941338
"463","2020",2,4,11,"negative",4895,0.811505305039788
"464","2020",2,4,11,"neutral",724,0.120026525198939
"465","2020",2,4,11,"positive",413,0.0684681697612732
"466","2020",2,4,12,"negative",4829,0.835467128027682
"467","2020",2,4,12,"neutral",596,0.103114186851211
"468","2020",2,4,12,"positive",355,0.0614186851211073
"469","2020",2,4,13,"negative",5490,0.813212857354466
"470","2020",2,4,13,"neutral",835,0.123685379943712
"471","2020",2,4,13,"positive",426,0.063101762701822
"472","2020",2,4,14,"negative",5512,0.819994049390062
"473","2020",2,4,14,"neutral",799,0.118863433501934
"474","2020",2,4,14,"positive",411,0.0611425171080036
"475","2020",2,4,15,"negative",5359,0.816920731707317
"476","2020",2,4,15,"neutral",778,0.11859756097561
"477","2020",2,4,15,"positive",423,0.0644817073170732
"478","2020",2,4,16,"negative",6121,0.815807010529122
"479","2020",2,4,16,"neutral",880,0.117286418765827
"480","2020",2,4,16,"positive",502,0.0669065707050513
"481","2020",2,4,17,"negative",4751,0.817024935511608
"482","2020",2,4,17,"neutral",657,0.112983662940671
"483","2020",2,4,17,"positive",407,0.0699914015477214
"484","2020",2,4,18,"negative",6808,0.772845953002611
"485","2020",2,4,18,"neutral",1347,0.152911794755364
"486","2020",2,4,18,"positive",654,0.0742422522420252
"487","2020",2,4,19,"negative",6404,0.813929842399593
"488","2020",2,4,19,"neutral",967,0.12290289781393
"489","2020",2,4,19,"positive",497,0.0631672597864769
"490","2020",2,4,20,"negative",8854,0.800470120242293
"491","2020",2,4,20,"neutral",1552,0.140312810776602
"492","2020",2,4,20,"positive",655,0.0592170689811048
"493","2020",2,4,21,"negative",8738,0.797626654495664
"494","2020",2,4,21,"neutral",1462,0.133455043359197
"495","2020",2,4,21,"positive",755,0.0689183021451392
"496","2020",2,4,22,"negative",5742,0.726375711574953
"497","2020",2,4,22,"neutral",1798,0.227450980392157
"498","2020",2,4,22,"positive",365,0.0461733080328906
"499","2020",2,4,23,"negative",10093,0.689600983875376
"500","2020",2,4,23,"neutral",3552,0.242689259360481
"501","2020",2,4,23,"positive",991,0.0677097567641432
"502","2020",2,5,0,"negative",5067,0.78863813229572
"503","2020",2,5,0,"neutral",1040,0.161867704280156
"504","2020",2,5,0,"positive",318,0.0494941634241245
"505","2020",2,5,1,"negative",7240,0.786102062975027
"506","2020",2,5,1,"neutral",1436,0.155917480998914
"507","2020",2,5,1,"positive",534,0.0579804560260586
"508","2020",2,5,2,"negative",4703,0.793487430403239
"509","2020",2,5,2,"neutral",874,0.147460772734942
"510","2020",2,5,2,"positive",350,0.0590517968618188
"511","2020",2,5,3,"negative",2752,0.787410586552217
"512","2020",2,5,3,"neutral",467,0.133619456366237
